carpeta_teselas,imagen,lpips_max,lpips_mean,lpips_min,lpips_std,num_pruebas,psnr_max,psnr_mean,psnr_min,psnr_std,ssim_max,ssim_mean,ssim_min,ssim_std,tipo_experimento
pid/pruebas/teselas_menos_variedad,beachnight,1.1019853353500366,0.9543307349085808,0.8687365055084229,0.08691415321004914,16,13.783380055790298,13.609261632552474,13.284606369369046,0.16083075746927558,0.13094235956668854,0.057495932560414076,0.033708181232213974,0.029408893885141733,grid
pid/pruebas/teselas_menos_variedad,clothshop,0.9524585008621216,0.8176238313317299,0.7151079177856445,0.08812906707500309,16,13.154180290960564,12.944707441760647,12.74306902198131,0.1525000229074,0.09980138391256332,0.05328176124021411,0.04285380244255066,0.017790947380101157,grid
pid/pruebas/teselas_menos_variedad,eagle,1.0748252868652344,0.9045701324939728,0.7646185755729675,0.1188627490398977,16,13.765322054680581,13.51642943206364,13.172192324209496,0.21405445715885488,0.1155778169631958,0.058839477598667145,0.04052362218499184,0.022228494690808575,grid
pid/pruebas/teselas_menos_variedad,flower,1.0571966171264648,0.913091741502285,0.769477128982544,0.11533818874526147,16,13.474968498831144,13.215158714344044,12.917891368688627,0.18430133574092505,0.1221240982413292,0.05920692626386881,0.04034831374883652,0.025384543469343154,grid
pid/pruebas/teselas_menos_variedad,forest,0.913030743598938,0.7660349309444427,0.6658133864402771,0.10061122521479197,16,13.529640664730989,13.274382564903235,12.926705824956832,0.18903698253268134,0.08524617552757263,0.0554884341545403,0.042225431650877,0.01366406579040546,grid
pid/pruebas/teselas_menos_variedad,fruits,1.0359746217727661,0.8235601261258125,0.6352577209472656,0.16499625813494556,16,13.521771584330049,13.256164581973767,12.972511878845651,0.1941767616096722,0.0996834933757782,0.05343744298443198,0.03912575915455818,0.018211978869348482,grid
pid/pruebas/teselas_menos_variedad,house,0.94687819480896,0.835865393280983,0.7695422172546387,0.06897219647846062,16,13.61849267099954,13.281852921643559,12.79559588196365,0.24713192325350988,0.10220811516046524,0.05391917284578085,0.03758556395769119,0.019008528750561283,grid
pid/pruebas/teselas_menos_variedad,mountain,1.016605019569397,0.8452973142266273,0.7379501461982727,0.10770317694149827,16,13.732932508363124,13.484457551876455,13.1003286230743,0.21849973844114898,0.09398183971643448,0.05331954266875982,0.038368869572877884,0.016233189775844873,grid
pid/pruebas/teselas_menos_variedad,padelplayers,1.056501865386963,0.8754942715167999,0.694059431552887,0.14118753353208005,16,13.784183333471564,13.491050918215734,13.149862919946811,0.23167605766252822,0.10971813648939133,0.059422876220196486,0.043350234627723694,0.019752343928166615,grid
pid/pruebas/teselas_menos_variedad,streetmarket,1.0268516540527344,0.8063273951411247,0.6557672023773193,0.1490730670660032,16,13.750416822435998,13.504382180734897,13.207898434745955,0.19649774664596037,0.09957098215818405,0.057345541194081306,0.04287911579012871,0.01683444045907926,grid
